scale_factor,noprov(s),prov(s),why(s),gprom_prov(s)
1,8.337204488,30.260283339,964.189515234,554.709448963
2,17.658322246,58.679309463,1925.862923346,1530.773884052
3,26.79382286,93.201715831,2879.923299306,3386.996389893
4,37.857855754,124.16521694,3875.447119398,6247.899060904
5,50.606237016,153.201814766,4843.271763798,9485.861893602
6,65.09840036,195.84956513,5815.756112511,22888.966969267
7,74.311365438,229.080999617,6762.353673176,
8,82.942890926,264.015965885,7790.062020662,
9,104.160367515,299.199690112,8781.481454605,
10,112.557964726,335.818265007,9836.45646949,
