scale_factor,query,prob_eval(s)
1,query11.sql,.037495214
1,query14.sql,1.978713937
1,query15.sql,15.230361618
1,query17.sql,14.883799584
2,query11.sql,.053650127
2,query14.sql,4.326584828
2,query15.sql,31.126175459
2,query17.sql,33.097855459
3,query11.sql,.068171435
3,query14.sql,6.727264765
3,query15.sql,47.622963567
3,query17.sql,51.011353229
4,query11.sql,.083567575
4,query14.sql,9.160348109
4,query15.sql,63.053098365
4,query17.sql,69.665837685
5,query11.sql,.105838669
5,query14.sql,11.743207656
5,query15.sql,79.038648411
5,query17.sql,90.374879353
6,query11.sql,.115933641
6,query14.sql,14.271668241
6,query15.sql,95.371807643
6,query17.sql,110.212336296
7,query11.sql,.133459432
7,query14.sql,16.844454882
7,query15.sql,112.818802400
7,query17.sql,128.405087834
8,query11.sql,.147290284
8,query14.sql,20.001697206
8,query15.sql,129.819072565
8,query17.sql,148.978988921
9,query11.sql,.243687981
9,query14.sql,22.130904325
9,query15.sql,147.103390988
9,query17.sql,170.693479960
10,query11.sql,.269921197
10,query14.sql,24.740069164
10,query15.sql,162.257670089
10,query17.sql,187.994426718
