scale_factor,query,prob_eval(s)
1,query10_cp.sql,.066053760
1,query13_cp.sql,1.686390905
1,query14_cp.sql,10.834561544
1,query16_cp.sql,15.813868454
2,query10_cp.sql,.097867682
2,query13_cp.sql,3.500658047
2,query14_cp.sql,22.649353270
2,query16_cp.sql,32.552908333
3,query10_cp.sql,.133644291
3,query13_cp.sql,5.441413421
3,query14_cp.sql,34.594645904
3,query16_cp.sql,49.189216162
4,query10_cp.sql,.170946291
4,query13_cp.sql,7.671882346
4,query14_cp.sql,46.829515298
4,query16_cp.sql,65.907041064
5,query10_cp.sql,.207964460
5,query13_cp.sql,9.826843740
5,query14_cp.sql,59.830943384
5,query16_cp.sql,83.509810528
6,query10_cp.sql,.243248037
6,query13_cp.sql,12.153991252
6,query14_cp.sql,73.870948315
6,query16_cp.sql,114.777973471
7,query10_cp.sql,.284952684
7,query13_cp.sql,14.412145818
7,query14_cp.sql,85.285995873
7,query16_cp.sql,135.276050568
8,query10_cp.sql,.330766994
8,query13_cp.sql,17.045697160
8,query14_cp.sql,98.838184512
8,query16_cp.sql,152.783944223
9,query10_cp.sql,.379174043
9,query13_cp.sql,20.541930790
9,query14_cp.sql,113.499573514
9,query16_cp.sql,174.160409105
10,query10_cp.sql,.415980605
10,query13_cp.sql,22.982096701
10,query14_cp.sql,126.699431438
10,query16_cp.sql,192.980594918
