scale_factor,query,prob_eval(s)
1,tpch_1_m.sql,38.9163498843
1,tpch_4_m.sql,7.0322818331
1,tpch_12_m.sql,18.0552006419
1,tpch_15_m.sql,1.1500144436
2,tpch_1_m.sql,84.185172551
2,tpch_4_m.sql,17.6601347595
2,tpch_12_m.sql,41.3724735703
2,tpch_15_m.sql,2.1501959887
3,tpch_1_m.sql,126.6984376945
3,tpch_4_m.sql,32.0629665646
3,tpch_12_m.sql,67.4219682918
3,tpch_15_m.sql,3.0469505704
4,tpch_1_m.sql,172.5874838008
4,tpch_4_m.sql,44.3945842685
4,tpch_12_m.sql,99.3696040523
4,tpch_15_m.sql,4.0507552547
5,tpch_1_m.sql,223.4147148105
5,tpch_4_m.sql,56.2266278252
5,tpch_12_m.sql,136.8074728557
5,tpch_15_m.sql,5.0221253928
6,tpch_4_m.sql,64.9200243937
6,tpch_12_m.sql,171.93911958
6,tpch_15_m.sql,5.9715360241
7,tpch_4_m.sql,76.9009076473
7,tpch_12_m.sql,217.0343039354
7,tpch_15_m.sql,6.9313413538
8,tpch_4_m.sql,86.3168155319
8,tpch_12_m.sql,255.1393716684
8,tpch_15_m.sql,4.2688982134
9,tpch_4_m.sql,100.4415508318
9,tpch_12_m.sql,309.8634211204
9,tpch_15_m.sql,4.8184567384
10,tpch_4_m.sql,113.6475779691
10,tpch_12_m.sql,364.1963135996
10,tpch_15_m.sql,5.3079597471
