scale_factor,query,prob_eval(s)
1,query11.sql,.066053760
1,query14.sql,1.686390905
1,query15.sql,10.834561544
1,query17.sql,15.813868454
2,query11.sql,.097867682
2,query14.sql,3.500658047
2,query15.sql,22.649353270
2,query17.sql,32.552908333
3,query11.sql,.133644291
3,query14.sql,5.441413421
3,query15.sql,34.594645904
3,query17.sql,49.189216162
4,query11.sql,.170946291
4,query14.sql,7.671882346
4,query15.sql,46.829515298
4,query17.sql,65.907041064
5,query11.sql,.207964460
5,query14.sql,9.826843740
5,query15.sql,59.830943384
5,query17.sql,83.509810528
6,query11.sql,.243248037
6,query14.sql,12.153991252
6,query15.sql,73.870948315
6,query17.sql,114.777973471
7,query11.sql,.284952684
7,query14.sql,14.412145818
7,query15.sql,85.285995873
7,query17.sql,135.276050568
8,query11.sql,.330766994
8,query14.sql,17.045697160
8,query15.sql,98.838184512
8,query17.sql,152.783944223
9,query11.sql,.379174043
9,query14.sql,20.541930790
9,query15.sql,113.499573514
9,query17.sql,174.160409105
10,query11.sql,.415980605
10,query14.sql,22.982096701
10,query15.sql,126.699431438
10,query17.sql,192.980594918
