scale_factor,query,time(s)
1,1_tpch.sql,1.5437210739
1,6_tpch.sql,0.2625655447
1,7_tpch.sql,0.438305016
1,9_tpch.sql,0.5540010818
1,12_tpch.sql,0.3759741388
1,19_tpch.sql,0.374518097
2,1_tpch.sql,3.0665719818
2,6_tpch.sql,0.4438897732
2,7_tpch.sql,0.7419672672
2,9_tpch.sql,1.3976722135
2,12_tpch.sql,0.6629005843
2,19_tpch.sql,0.6442471563
3,1_tpch.sql,4.4617541001
3,6_tpch.sql,0.6489480249
3,7_tpch.sql,1.093548039
3,9_tpch.sql,2.4096872735
3,12_tpch.sql,0.9612486864
3,19_tpch.sql,1.0731613685
4,1_tpch.sql,5.8539017132
4,6_tpch.sql,0.7883750606
4,7_tpch.sql,1.6813305707
4,9_tpch.sql,3.1252388996
4,12_tpch.sql,1.2033396085
4,19_tpch.sql,1.2704351194
5,1_tpch.sql,7.277489149
5,6_tpch.sql,0.9283354345
5,7_tpch.sql,1.9902050677
5,9_tpch.sql,154.6689694655
5,12_tpch.sql,1.3883879354
5,19_tpch.sql,1.4691727804
6,1_tpch.sql,8.7348994888
6,6_tpch.sql,1.076059041
6,7_tpch.sql,2.2759583892
6,9_tpch.sql,226.2458389733
6,12_tpch.sql,1.6103151871
6,19_tpch.sql,1.6810519672
7,1_tpch.sql,10.1727773837
7,6_tpch.sql,1.2489822553
7,7_tpch.sql,2.696547152
7,9_tpch.sql,302.8526588302
7,12_tpch.sql,1.8857612713
7,19_tpch.sql,1.9124941064
8,1_tpch.sql,11.6627277359
8,6_tpch.sql,1.3656271186
8,7_tpch.sql,3.0683208231
8,9_tpch.sql,392.8631115988
8,12_tpch.sql,2.0832150969
8,19_tpch.sql,2.0964439078
9,1_tpch.sql,12.9357095024
9,6_tpch.sql,1.5740180581
9,7_tpch.sql,3.4255118574
9,9_tpch.sql,495.2161512353
9,12_tpch.sql,2.4546014683
9,19_tpch.sql,2.3836669271
10,1_tpch.sql,14.2651907776
10,6_tpch.sql,1.7602822949
10,7_tpch.sql,3.7915605497
10,9_tpch.sql,613.2355726357
10,12_tpch.sql,2.6780188963
10,19_tpch.sql,2.636118819
