scale_factor,formula(s),counting(s),why(s)
1,722.95010548,649.593561863,1292.951530803
2,1453.7046987899998,1308.980421408,2593.548180278
3,2206.675366567,1979.0228236540001,3905.895750738
4,2934.376519816,2647.968331871,5198.137719748
5,3740.219593222,3317.257035646,6542.580094274
6,4511.8182490009995,4011.522883894,7862.759439712
7,5295.912153494,4747.440780557,9321.185230936
8,6344.633060378,5477.469969309,10652.264806604
9,7119.92129288,6129.939925451,11923.537665435999
10,7849.1190358759995,7411.064407563,13963.265390963
