scale_factor,query,formula(s),counting(s),why(s)
1,6_tpch.sql,169.361591383,4.187313172,1432.420079236
1,3_tpch.sql,.068774621,.067833234,.071203994
1,7_tpch.sql,.557666566,.469826588,.808104933
1,9_tpch.sql,2.478811163,2.280602384,2.839976991
1,10_tpch.sql,.219542548,.218093759,.217065567
1,12_tpch.sql,5.970856078,2.850853122,31.650565798
1,14_tpch.sql,.036140928,.035649017,.036146925
1,19_tpch.sql,.468238274,.449315766,.464376461
2,6_tpch.sql,689.087112253,7.793501086,1500.001920857
2,3_tpch.sql,.081436308,.080900138,.086357894
2,7_tpch.sql,1.200038592,.989362103,1.957090251
2,9_tpch.sql,4.778386930,4.579541819,5.833912650
2,10_tpch.sql,.382244590,.381690224,.378740190
2,12_tpch.sql,19.331803827,5.709915179,119.160713516
2,14_tpch.sql,.036213138,.035579228,.035360453
2,19_tpch.sql,.841307950,.819735487,.848430731
3,6_tpch.sql,1500.002769740,11.863038616,1500.002089109
3,3_tpch.sql,.174521418,.070842138,.128170531
3,7_tpch.sql,1.358159725,1.180653338,1.232038056
3,9_tpch.sql,8.567236756,7.118335870,10.000697325
3,10_tpch.sql,.656883874,.546438539,.546028515
3,12_tpch.sql,54.789717057,8.632308552,272.563757412
3,14_tpch.sql,.035777110,.035607205,.035973944
3,19_tpch.sql,1.442269876,1.397747816,1.444953207
4,6_tpch.sql,1500.001943835,16.625390100,1500.001894935
4,3_tpch.sql,.619318834,.073321942,.077078393
4,7_tpch.sql,6.952015501,3.329291016,10.008718462
4,9_tpch.sql,12.406403293,9.662077019,14.187099138
4,10_tpch.sql,.773251966,.723623608,.709745875
4,12_tpch.sql,123.381715467,11.407464225,522.219699191
4,14_tpch.sql,.079337159,.033394114,.033349041
4,19_tpch.sql,1.776486464,1.740130920,1.797757980
5,6_tpch.sql,1500.002031045,20.010327594,1500.001966876
5,3_tpch.sql,.270055892,.064225416,.069645209
5,7_tpch.sql,12.644641982,4.059727770,15.239359421
5,9_tpch.sql,17.850345029,12.429609475,18.587223560
5,10_tpch.sql,.930206274,.928289832,.921828411
5,12_tpch.sql,229.973940348,14.111813048,774.529322424
5,14_tpch.sql,.086878961,.035103541,.035610356
5,19_tpch.sql,2.174012490,2.097451500,2.134505813
6,6_tpch.sql,.039226951,.123484877,.082549255
6,3_tpch.sql,.031880107,.029295564,.029345452
6,7_tpch.sql,.038715441,.029968588,.030602807
6,9_tpch.sql,.031674951,.030517278,.030325038
6,10_tpch.sql,.030156043,.029674180,.029431470
6,12_tpch.sql,.030061098,.029230322,.029426123
6,14_tpch.sql,.029969074,.029010520,.029253711
6,19_tpch.sql,.032152723,.030615618,.030449166
7,6_tpch.sql,1500.002022591,64.629029093,1500.002066819
7,3_tpch.sql,.237972350,.059957836,.069212313
7,7_tpch.sql,15.973773668,6.170907405,26.352261571
7,9_tpch.sql,25.609509958,17.501924061,30.432592965
7,10_tpch.sql,2.321732690,2.177375728,2.177589448
7,12_tpch.sql,470.878040401,20.298862970,1500.001887214
7,14_tpch.sql,.044916788,.043030619,.043249175
7,19_tpch.sql,2.832929290,2.790687400,2.852386871
8,6_tpch.sql,1500.004281436,87.969334249,1500.001922026
8,3_tpch.sql,.177111938,.055206459,.103977281
8,7_tpch.sql,24.183573061,7.211198143,33.576718716
8,9_tpch.sql,33.254612828,20.048311380,37.364068408
8,10_tpch.sql,2.630316045,2.557992579,2.549005899
8,12_tpch.sql,645.654286124,23.221955604,1500.001925211
8,14_tpch.sql,.131437631,.032512009,.033119763
8,19_tpch.sql,3.177334447,3.203124936,3.229095070
9,6_tpch.sql,1500.054655984,99.281941064,1500.001906837
9,3_tpch.sql,.237200282,.067496270,.082110157
9,7_tpch.sql,29.190167749,7.831286858,43.380950634
9,9_tpch.sql,38.753437943,23.161933998,44.275519728
9,10_tpch.sql,2.919709632,2.833056717,2.905125878
9,12_tpch.sql,808.378238578,26.297774948,1500.002070543
9,14_tpch.sql,.079837536,.044974008,.096059899
9,19_tpch.sql,3.539431748,3.460104487,3.646347712
10,6_tpch.sql,1500.007285114,113.217033432,1500.002053709
10,3_tpch.sql,.232313476,.063605921,.113972818
10,7_tpch.sql,29.842720504,8.606734182,51.481142867
10,9_tpch.sql,43.379243132,25.347304063,53.994900867
10,10_tpch.sql,3.268818736,3.141865297,3.141163012
10,12_tpch.sql,1057.173216064,35.430985189,1500.001812719
10,14_tpch.sql,.080914102,.037179470,.078022929
10,19_tpch.sql,3.972478318,3.833627475,4.089119592
