scale_factor,noprov(s),prov(s),why(s),gprom_prov(s)
1,8.596589112,31.000512880,254.633404239,554.709448963
2,17.018140255,61.917003924,514.782624534,1530.773884052
3,25.935261014,95.699674657,774.034760842,3386.996389893
4,35.275972185,125.938183117,1037.383786426,6247.899060904
5,44.946492367,162.378193386,1308.467296424,9485.861893602
6,55.043445163,209.191024888,1594.002204861,22888.966969267
7,63.066064403,242.449217179,1850.759159205
8,72.939366167,270.353080105,2138.989994772
9,82.730606307,303.033267490,2418.504470849
10,93.534622339,341.719985189,2698.982765580
