scale_factor,query,time(s)
1,7_tpch.sql,1.339112716
1,9_tpch.sql,44.678882398
2,7_tpch.sql,3.026587284
2,9_tpch.sql,90.395265479
3,7_tpch.sql,4.636527465
3,9_tpch.sql,138.705051672
4,7_tpch.sql,6.506475174
4,9_tpch.sql,184.956202442
5,7_tpch.sql,8.040428369
5,9_tpch.sql,236.349381109
6,7_tpch.sql,9.484791820
6,9_tpch.sql,278.530341211
7,7_tpch.sql,11.322478400
7,9_tpch.sql,461.677977834
8,7_tpch.sql,13.105360675
8,9_tpch.sql,546.728040868
9,7_tpch.sql,14.616804089
9,9_tpch.sql,624.563702319
10,7_tpch.sql,16.507624786
10,9_tpch.sql,695.829760398
