scale_factor,query,time(s)
1,7_tpch.sql,.365276943
1,9_tpch.sql,6.664375191
2,7_tpch.sql,.665152283
2,9_tpch.sql,12.642328791
3,7_tpch.sql,.974535725
3,9_tpch.sql,20.190640197
4,7_tpch.sql,1.749555471
4,9_tpch.sql,26.385113015
5,7_tpch.sql,2.117706059
5,9_tpch.sql,33.058940157
6,7_tpch.sql,2.459327228
6,9_tpch.sql,42.022293791
7,7_tpch.sql,2.969324245
7,9_tpch.sql,53.239246356
8,7_tpch.sql,3.323268797
8,9_tpch.sql,62.466781491
9,7_tpch.sql,3.685594936
9,9_tpch.sql,70.459759985
10,7_tpch.sql,4.572923923
10,9_tpch.sql,80.265199949
