scale_factor,query,prob_eval(s)
1,tpch_1_m.sql,36.36125180950000000000
1,tpch_4_m.sql,6.76613210160000000000
1,tpch_12_m.sql,17.59572238760000000000
1,tpch_15_m.sql,1.15775375680000000000
2,tpch_1_m.sql,78.74063278300000000000
2,tpch_4_m.sql,16.89006958770000000000
2,tpch_12_m.sql,40.20743001510000000000
2,tpch_15_m.sql,2.16013125370000000000
3,tpch_1_m.sql,125.39994245850000000000
3,tpch_4_m.sql,32.06004846550000000000
3,tpch_12_m.sql,67.63768686230000000000
3,tpch_15_m.sql,3.10216604160000000000
4,tpch_1_m.sql,174.77839285750000000000
4,tpch_4_m.sql,44.50251804370000000000
4,tpch_12_m.sql,99.71012617090000000000
4,tpch_15_m.sql,4.12643269910000000000
5,tpch_1_m.sql,230.12228040750000000000
5,tpch_4_m.sql,56.05182385490000000000
5,tpch_12_m.sql,135.31723488230000000000
5,tpch_15_m.sql,5.15796377150000000000
6,tpch_4_m.sql,70.19681710870000000000
6,tpch_12_m.sql,174.24056062810000000000
6,tpch_15_m.sql,6.18761879570000000000
7,tpch_4_m.sql,83.92557811190000000000
7,tpch_12_m.sql,217.97416971710000000000
7,tpch_15_m.sql,7.12277020300000000000
8,tpch_4_m.sql,95.30854069010000000000
8,tpch_12_m.sql,259.20850879340000000000
8,tpch_15_m.sql,4.33907681730000000000
9,tpch_4_m.sql,109.70636624810000000000
9,tpch_12_m.sql,308.55725996540000000000
9,tpch_15_m.sql,4.88581988130000000000
10,tpch_4_m.sql,123.74319533250000000000
10,tpch_12_m.sql,364.42519350140000000000
10,tpch_15_m.sql,5.45087363770000000000
