scale_factor,query,time(s)
1,1_tpch.sql,1.48674901260000000000
1,6_tpch.sql,.31781586950000000000
1,7_tpch.sql,.29706467640000000000
1,9_tpch.sql,.80207341300000000000
1,12_tpch.sql,.43786111680000000000
1,19_tpch.sql,.42115278280000000000
2,1_tpch.sql,3.04984969270000000000
2,6_tpch.sql,.57856728410000000000
2,7_tpch.sql,.58864276490000000000
2,9_tpch.sql,1.64890989060000000000
2,12_tpch.sql,.82532287490000000000
2,19_tpch.sql,.79147470420000000000
3,1_tpch.sql,4.31722574580000000000
3,6_tpch.sql,.81848383090000000000
3,7_tpch.sql,.85733065130000000000
3,9_tpch.sql,2.66489174900000000000
3,12_tpch.sql,1.18518121840000000000
3,19_tpch.sql,1.16530852170000000000
4,1_tpch.sql,5.76500591290000000000
4,6_tpch.sql,1.03570806300000000000
4,7_tpch.sql,1.33741881240000000000
4,9_tpch.sql,3.53825532620000000000
4,12_tpch.sql,1.50235217010000000000
4,19_tpch.sql,1.46735112020000000000
5,1_tpch.sql,7.17060107390000000000
5,6_tpch.sql,1.27665253910000000000
5,7_tpch.sql,1.62528447230000000000
5,9_tpch.sql,5.71322513170000000000
5,12_tpch.sql,1.84531208770000000000
5,19_tpch.sql,1.79467955800000000000
6,1_tpch.sql,8.63340250840000000000
6,6_tpch.sql,1.49408139070000000000
6,7_tpch.sql,2.37007114720000000000
6,9_tpch.sql,5.64422513670000000000
6,12_tpch.sql,2.16028628880000000000
6,19_tpch.sql,2.10868410520000000000
7,1_tpch.sql,9.99036980630000000000
7,6_tpch.sql,1.72079692780000000000
7,7_tpch.sql,2.70112668430000000000
7,9_tpch.sql,6.55256484990000000000
7,12_tpch.sql,2.48259980800000000000
7,19_tpch.sql,2.40175669770000000000
8,1_tpch.sql,11.41442189550000000000
8,6_tpch.sql,1.96879464260000000000
8,7_tpch.sql,3.16216290540000000000
8,9_tpch.sql,47.04334700270000000000
8,12_tpch.sql,2.81919949420000000000
8,19_tpch.sql,2.71576022510000000000
9,1_tpch.sql,12.68205720450000000000
9,6_tpch.sql,2.17027741250000000000
9,7_tpch.sql,3.52287111960000000000
9,9_tpch.sql,8.78816355090000000000
9,12_tpch.sql,3.12630021590000000000
9,19_tpch.sql,3.00366234560000000000
10,1_tpch.sql,14.17844667060000000000
10,6_tpch.sql,2.41202102840000000000
10,7_tpch.sql,3.91556134450000000000
10,9_tpch.sql,9.96096374430000000000
10,12_tpch.sql,3.49260907940000000000
10,19_tpch.sql,3.37896787390000000000
