scale_factor,query,time(s)
1,1_tpch.sql,216.42453829200000000000
1,6_tpch.sql,.96733074270000000000
1,7_tpch.sql,.41300986850000000000
1,9_tpch.sql,3.64072625490000000000
1,12_tpch.sql,1.00634138040000000000
1,19_tpch.sql,.44827326230000000000
2,1_tpch.sql,464.80970631860000000000
2,6_tpch.sql,1.86271305280000000000
2,7_tpch.sql,.75002954820000000000
2,9_tpch.sql,7.56415809490000000000
2,12_tpch.sql,1.92372916440000000000
2,19_tpch.sql,.81193706350000000000
3,6_tpch.sql,2.74397304190000000000
3,7_tpch.sql,1.09241992930000000000
3,9_tpch.sql,14.01126699800000000000
3,12_tpch.sql,2.92341297030000000000
3,19_tpch.sql,1.24375202370000000000
4,6_tpch.sql,3.60536102760000000000
4,7_tpch.sql,1.73601405570000000000
4,9_tpch.sql,19.44152293040000000000
4,12_tpch.sql,4.27814878290000000000
4,19_tpch.sql,1.58188702590000000000
5,6_tpch.sql,4.47678188640000000000
5,7_tpch.sql,2.14330188060000000000
5,9_tpch.sql,25.30989986170000000000
5,12_tpch.sql,4.95526055900000000000
5,19_tpch.sql,1.90195917480000000000
6,6_tpch.sql,5.41522379630000000000
6,7_tpch.sql,2.48282393160000000000
6,9_tpch.sql,30.56386341200000000000
6,12_tpch.sql,6.22734407590000000000
6,19_tpch.sql,2.23421440740000000000
7,6_tpch.sql,6.23386726520000000000
7,7_tpch.sql,3.64248858060000000000
7,9_tpch.sql,36.05812519300000000000
7,12_tpch.sql,7.36933442590000000000
7,19_tpch.sql,2.56959642700000000000
8,6_tpch.sql,7.12331611090000000000
8,7_tpch.sql,4.18441175680000000000
8,9_tpch.sql,41.41636628320000000000
8,12_tpch.sql,8.09799674800000000000
8,19_tpch.sql,2.91020681110000000000
9,6_tpch.sql,8.03552685340000000000
9,7_tpch.sql,4.62371137050000000000
9,9_tpch.sql,46.53061446390000000000
9,12_tpch.sql,9.43498118120000000000
9,19_tpch.sql,3.26979572020000000000
10,6_tpch.sql,8.92642491190000000000
10,7_tpch.sql,5.13214068670000000000
10,9_tpch.sql,52.30090706380000000000
10,12_tpch.sql,9.81273869040000000000
10,19_tpch.sql,3.61022157150000000000
