scale_factor,query,time(s)
1,3_tpch.sql,1.13845568010000000000
1,4_tpch.sql,1.57469597010000000000
2,3_tpch.sql,4.23607447560000000000
2,4_tpch.sql,10.84918251800000000000
3,3_tpch.sql,6.21641820560000000000
3,4_tpch.sql,16.30654800160000000000
4,3_tpch.sql,10.83091089200000000000
4,4_tpch.sql,21.80824008770000000000
5,3_tpch.sql,12.35317381020000000000
5,4_tpch.sql,27.37317633030000000000
6,3_tpch.sql,17.11763898410000000000
6,4_tpch.sql,32.85362670290000000000
7,3_tpch.sql,19.64655816600000000000
7,4_tpch.sql,38.60752444090000000000
8,3_tpch.sql,23.03483075970000000000
8,4_tpch.sql,43.89323077910000000000
9,3_tpch.sql,25.44555021580000000000
9,4_tpch.sql,50.02715780930000000000
10,3_tpch.sql,29.12070825100000000000
10,4_tpch.sql,55.28576948060000000000
