scale_factor,query,prob_eval(s)
1,6_probab.sql,2.90144770133333333333
1,9_probab.sql,72.18084752033333333333
1,12_probab.sql,4.44855578666666666666
1,19_probab.sql,1.49970976733333333333
2,6_probab.sql,5.77220408533333333333
2,9_probab.sql,148.44802881600000000000
2,12_probab.sql,9.25604722600000000000
2,19_probab.sql,2.86754447766666666666
3,6_probab.sql,8.64054985566666666666
3,9_probab.sql,195.59742644966666666666
3,12_probab.sql,14.30208515566666666666
3,19_probab.sql,4.18514018933333333333
4,6_probab.sql,11.68006768100000000000
4,9_probab.sql,326.16942538800000000000
4,12_probab.sql,19.52798025100000000000
4,19_probab.sql,5.54093989433333333333
5,6_probab.sql,14.88115389600000000000
5,9_probab.sql,360.51099838700000000000
5,12_probab.sql,24.81435677066666666666
5,19_probab.sql,6.84369456066666666666
6,6_probab.sql,17.90573342133333333333
6,9_probab.sql,505.99381930033333333333
6,12_probab.sql,29.15487539633333333333
6,19_probab.sql,8.26974672266666666666
7,6_probab.sql,21.18309267200000000000
7,9_probab.sql,605.11243535866666666666
7,12_probab.sql,36.00610179966666666666
7,19_probab.sql,9.60663638566666666666
8,6_probab.sql,22.98118243133333333333
8,9_probab.sql,689.15045269000000000000
8,12_probab.sql,38.18025775900000000000
8,19_probab.sql,7.37071572433333333333
9,6_probab.sql,25.78776934300000000000
9,9_probab.sql,781.14751353200000000000
9,12_probab.sql,41.68636505066666666666
9,19_probab.sql,8.28438615266666666666
10,6_probab.sql,32.45105407500000000000
10,9_probab.sql,879.44656400000000000000
10,12_probab.sql,48.98480256333333333333
10,19_probab.sql,9.28272964100000000000
