scale_factor,formula(s),counting(s),why(s)
1,201.250716789,180.165340096,201.630452704
2,401.172120126,374.364368503,427.449730089
3,610.319605438,561.100855135,622.313181410
4,812.777772657,746.386835617,818.288752517
5,1015.250262529,937.769041844,1026.158557900
6,1274.461933090,1156.775243126,1298.402551924
7,1493.954354944,1360.612974727,1522.969441363
8,1669.845384167,1535.898210879,1695.929757254
9,1987.549519796,1815.117997049,2052.112547868
10,2293.931767447,2030.349885894,2244.477983093
