scale_factor,query,time(s)
1,6_tpch.sql,0.2625655447
1,3_tpch.sql,0.0496108689
1,7_tpch.sql,0.438305016
1,9_tpch.sql,0.5540010818
1,10_tpch.sql,0.1518331917
1,12_tpch.sql,0.3759741388
1,14_tpch.sql,0.0280060699
1,19_tpch.sql,0.374518097
2,6_tpch.sql,0.4438897732
2,3_tpch.sql,0.0502756831
2,7_tpch.sql,0.7419672672
2,9_tpch.sql,1.3976722135
2,10_tpch.sql,0.2467013353
2,12_tpch.sql,0.6629005843
2,14_tpch.sql,0.0282574886
2,19_tpch.sql,0.6442471563
3,6_tpch.sql,0.6489480249
3,3_tpch.sql,0.0461295217
3,7_tpch.sql,1.093548039
3,9_tpch.sql,2.4096872735
3,10_tpch.sql,0.3416343338
3,12_tpch.sql,0.9612486864
3,14_tpch.sql,0.0282510602
3,19_tpch.sql,1.0731613685
4,6_tpch.sql,0.7883750606
4,3_tpch.sql,0.0490757546
4,7_tpch.sql,1.6813305707
4,9_tpch.sql,3.1252388996
4,10_tpch.sql,0.4311449589
4,12_tpch.sql,1.2033396085
4,14_tpch.sql,0.026872741
4,19_tpch.sql,1.2704351194
5,6_tpch.sql,0.9283354345
5,3_tpch.sql,0.0514180671
5,7_tpch.sql,1.9902050677
5,9_tpch.sql,154.6689694655
5,10_tpch.sql,0.5146644294
5,12_tpch.sql,1.3883879354
5,14_tpch.sql,0.0281525945
5,19_tpch.sql,1.4691727804
6,6_tpch.sql,1.076059041
6,3_tpch.sql,0.0526868678
6,7_tpch.sql,2.2759583892
6,9_tpch.sql,226.2458389733
6,10_tpch.sql,0.615054283
6,12_tpch.sql,1.6103151871
6,14_tpch.sql,0.0286485965
6,19_tpch.sql,1.6810519672
7,6_tpch.sql,1.2489822553
7,3_tpch.sql,0.0595974871
7,7_tpch.sql,2.696547152
7,9_tpch.sql,302.8526588302
7,10_tpch.sql,0.7277065445
7,12_tpch.sql,1.8857612713
7,14_tpch.sql,0.0329498207
7,19_tpch.sql,1.9124941064
8,6_tpch.sql,1.3656271186
8,3_tpch.sql,0.052500357
8,7_tpch.sql,3.0683208231
8,9_tpch.sql,392.8631115988
8,10_tpch.sql,1.4687557446
8,12_tpch.sql,2.0832150969
8,14_tpch.sql,0.0263203038
8,19_tpch.sql,2.0964439078
9,6_tpch.sql,1.5740180581
9,3_tpch.sql,0.0599603102
9,7_tpch.sql,3.4255118574
9,9_tpch.sql,495.2161512353
9,10_tpch.sql,1.7059614299
9,12_tpch.sql,2.4546014683
9,14_tpch.sql,0.0343452892
9,19_tpch.sql,2.3836669271
10,6_tpch.sql,1.7602822949
10,3_tpch.sql,0.0648889941
10,7_tpch.sql,3.7915605497
10,9_tpch.sql,613.2355726357
10,10_tpch.sql,1.8746800244
10,12_tpch.sql,2.6780188963
10,14_tpch.sql,0.028965126
10,19_tpch.sql,2.636118819
