scale_factor, gprom_prov(s), provenance(s), withoutprov(s)
0.1,10.957136723,4.415312484,3.398978541
0.2,22.480844731,7.715087357,6.714451486
0.3,31.802247194,12.353435091,9.892654802
0.4,40.826828503,15.012222004,11.960130313
0.5,50.986210918,19.608818991,14.200220711
0.6,61.401338906,22.309780988,17.109334843
0.7,70.536538039,26.328451483,19.741139397
0.8,78.812492822,31.499844862,23.315960123
0.9,88.57781914,34.197227746,26.022384324
1,98.26160183,37.163278443,29.046644436
1.1,99.077868065,36.831760819,28.888836701
1.2,97.237122284,36.991264237,28.748849311
1.3,97.58017887,37.926925374,28.756666247
1.4,97.862251295,37.632629553,28.386750251
1.5,98.766968987,37.481253813,28.701274715
1.6,97.790133837,37.216048143,28.517255095
1.7,99.710202427,37.820654279,28.526597522
1.8,97.624715639,36.907509833,28.581332574
1.9,98.028006554,37.083156045,28.481778519
2,199.024671645,75.671265007,56.787782579
2.1,195.876482178,75.36567974,54.239229438
2.2,198.409470523,75.445426754,54.443182259
