scale_factor, provenance(s)
1,3_tpch.sql,.056018288
1,6_tpch.sql,.063619716
1,7_tpch.sql,.487399716
1,9_tpch.sql,1.992483486
1,10_tpch.sql,.258618497
1,12_tpch.sql,.878072412
1,14_tpch.sql,.030955027
1,19_tpch.sql,.091368315
2,3_tpch.sql,.055275069
2,6_tpch.sql,.060300669
2,7_tpch.sql,.907471508
2,9_tpch.sql,3.905170776
2,10_tpch.sql,.463589539
2,12_tpch.sql,1.767454539
2,14_tpch.sql,.031626048
2,19_tpch.sql,.088580622
3,3_tpch.sql,.056734478
3,6_tpch.sql,.064642295
3,7_tpch.sql,1.376600801
3,9_tpch.sql,6.727042331
3,10_tpch.sql,.669721286
3,12_tpch.sql,2.968118195
3,14_tpch.sql,.032218641
3,19_tpch.sql,.386246910
4,3_tpch.sql,.059470735
4,6_tpch.sql,.059696040
4,7_tpch.sql,2.217592219
4,9_tpch.sql,8.857151738
4,10_tpch.sql,.836840408
4,12_tpch.sql,3.798851097
4,14_tpch.sql,.033441476
4,19_tpch.sql,.427934990
5,3_tpch.sql,.060700140
5,6_tpch.sql,.059999833
5,7_tpch.sql,2.689790890
5,9_tpch.sql,11.166500593
5,10_tpch.sql,1.040489796
5,12_tpch.sql,4.541371950
5,14_tpch.sql,.033184401
5,19_tpch.sql,.058741630
6,3_tpch.sql,.063462986
6,6_tpch.sql,.062710761
6,7_tpch.sql,2.984489653
6,9_tpch.sql,13.680426255
6,10_tpch.sql,1.219194008
6,12_tpch.sql,5.055571808
6,14_tpch.sql,.033537008
6,19_tpch.sql,.389824698
7,3_tpch.sql,.072066424
7,6_tpch.sql,.062291583
7,7_tpch.sql,3.461742672
7,9_tpch.sql,15.494754192
7,10_tpch.sql,1.440776874
7,12_tpch.sql,6.116857567
7,14_tpch.sql,.035831081
7,19_tpch.sql,.068639293
8,3_tpch.sql,.063626553
8,6_tpch.sql,.061747664
8,7_tpch.sql,3.959397827
8,9_tpch.sql,18.429594249
8,10_tpch.sql,1.760131644
8,12_tpch.sql,7.163278667
8,14_tpch.sql,.030784487
8,19_tpch.sql,.032151557
9,3_tpch.sql,.071073110
9,6_tpch.sql,.066110886
9,7_tpch.sql,4.498445696
9,9_tpch.sql,21.244937530
9,10_tpch.sql,2.009483786
9,12_tpch.sql,7.728881757
9,14_tpch.sql,.040040402
9,19_tpch.sql,.054472052
10,3_tpch.sql,.074605762
10,6_tpch.sql,.087045929
10,7_tpch.sql,4.797800749
10,9_tpch.sql,22.113864831
10,10_tpch.sql,2.132044031
10,12_tpch.sql,10.459526520
10,14_tpch.sql,.032381699
10,19_tpch.sql,.045619327
