scale_factor,query,prob_eval(s)
1,tpch_1_p.sql,38.91634988430000000000
1,tpch_4_p.sql,7.03228183310000000000
1,tpch_12_p.sql,18.05520064190000000000
1,tpch_15_p.sql,1.15001444360000000000
2,tpch_1_p.sql,84.18517255100000000000
2,tpch_4_p.sql,17.66013475950000000000
2,tpch_12_p.sql,41.37247357030000000000
2,tpch_15_p.sql,2.15019598870000000000
3,tpch_1_p.sql,126.69843769450000000000
3,tpch_4_p.sql,32.06296656460000000000
3,tpch_12_p.sql,67.42196829180000000000
3,tpch_15_p.sql,3.04695057040000000000
4,tpch_1_p.sql,172.58748380080000000000
4,tpch_4_p.sql,44.39458426850000000000
4,tpch_12_p.sql,99.36960405230000000000
4,tpch_15_p.sql,4.05075525470000000000
5,tpch_1_p.sql,223.41471481050000000000
5,tpch_4_p.sql,56.22662782520000000000
5,tpch_12_p.sql,136.80747285570000000000
5,tpch_15_p.sql,5.02212539280000000000
6,tpch_1_p.sql,6531.13811888700000000000
