scale_factor,query,prov(s)
1,6_tpch.sql,.89407862180000000000
1,3_tpch.sql,.04477307690000000000
1,7_tpch.sql,.27544768590000000000
1,9_tpch.sql,2.01870125140000000000
1,10_tpch.sql,.15500994980000000000
1,12_tpch.sql,1.09228431320000000000
1,14_tpch.sql,.02950700550000000000
1,19_tpch.sql,.38985962410000000000
2,6_tpch.sql,1.68723414530000000000
2,3_tpch.sql,.05033939840000000000
2,7_tpch.sql,.58513178080000000000
2,9_tpch.sql,3.90867080690000000000
2,10_tpch.sql,.25629806830000000000
2,12_tpch.sql,2.11094386340000000000
2,14_tpch.sql,.02963250530000000000
2,19_tpch.sql,.69255079660000000000
3,6_tpch.sql,2.57347967310000000000
3,3_tpch.sql,.04551969660000000000
3,7_tpch.sql,.81257915090000000000
3,9_tpch.sql,6.18453379560000000000
3,10_tpch.sql,.35264701140000000000
3,12_tpch.sql,3.21171491800000000000
3,14_tpch.sql,.02926071950000000000
3,19_tpch.sql,1.18344214660000000000
4,6_tpch.sql,3.34828444450000000000
4,3_tpch.sql,.04816962180000000000
4,7_tpch.sql,1.70781917470000000000
4,9_tpch.sql,8.18524763470000000000
4,10_tpch.sql,.44657836670000000000
4,12_tpch.sql,4.16371771250000000000
4,14_tpch.sql,.02825877390000000000
4,19_tpch.sql,1.45290264400000000000
5,6_tpch.sql,4.09085669870000000000
5,3_tpch.sql,.05558955710000000000
5,7_tpch.sql,2.00395108340000000000
5,9_tpch.sql,10.27340994450000000000
5,10_tpch.sql,.58773221430000000000
5,12_tpch.sql,5.16134725370000000000
5,14_tpch.sql,.02963988450000000000
5,19_tpch.sql,1.70350463000000000000
6,6_tpch.sql,4.80308440320000000000
6,3_tpch.sql,.05693841680000000000
6,7_tpch.sql,2.21000941940000000000
6,9_tpch.sql,12.49034553630000000000
6,10_tpch.sql,.70070060970000000000
6,12_tpch.sql,6.20393357430000000000
6,14_tpch.sql,.03112102110000000000
6,19_tpch.sql,1.99901382410000000000
7,6_tpch.sql,5.65985763380000000000
7,3_tpch.sql,.04915864500000000000
7,7_tpch.sql,2.95585375910000000000
7,9_tpch.sql,14.37634559840000000000
7,10_tpch.sql,.85555396040000000000
7,12_tpch.sql,7.20014150680000000000
7,14_tpch.sql,.03540088290000000000
7,19_tpch.sql,2.28987759650000000000
8,6_tpch.sql,6.41242007360000000000
8,3_tpch.sql,.04404464410000000000
8,7_tpch.sql,3.35575563950000000000
8,9_tpch.sql,16.45321185730000000000
8,10_tpch.sql,1.79322182070000000000
8,12_tpch.sql,8.19232926290000000000
8,14_tpch.sql,.02845090620000000000
8,19_tpch.sql,2.49794206180000000000
9,6_tpch.sql,7.16497885690000000000
9,3_tpch.sql,.05200159250000000000
9,7_tpch.sql,3.59600790230000000000
9,9_tpch.sql,18.42547577570000000000
9,10_tpch.sql,1.96220622290000000000
9,12_tpch.sql,9.15174555840000000000
9,14_tpch.sql,.03627871360000000000
9,19_tpch.sql,2.70671780410000000000
10,6_tpch.sql,8.02781506070000000000
10,3_tpch.sql,.05062887500000000000
10,7_tpch.sql,4.08093679190000000000
10,9_tpch.sql,21.02959103500000000000
10,10_tpch.sql,2.19918732350000000000
10,12_tpch.sql,10.23353489250000000000
10,14_tpch.sql,.03082002260000000000
10,19_tpch.sql,2.93088367190000000000
