scale_factor,query,why(s)
tpc_scale_0_1,3_tpch.sql,.066146607
tpc_scale_0_2,3_tpch.sql,.068772893
tpc_scale_0_3,3_tpch.sql,.067781137
tpc_scale_0_4,3_tpch.sql,.068057672
tpc_scale_0_5,3_tpch.sql,.067188282
tpc_scale_0_6,3_tpch.sql,.067303919
tpc_scale_0_7,3_tpch.sql,.068502431
tpc_scale_0_8,3_tpch.sql,.068964522
tpc_scale_0_9,3_tpch.sql,.067914546
tpc_scale_1_0,3_tpch.sql,.066394123
tpc_scale_0_1,9_tpch.sql,2.135988777
tpc_scale_0_2,9_tpch.sql,2.089943430
tpc_scale_0_3,9_tpch.sql,2.203861067
tpc_scale_0_4,9_tpch.sql,2.187512275
tpc_scale_0_5,9_tpch.sql,2.297821110
tpc_scale_0_6,9_tpch.sql,2.232210688
tpc_scale_0_7,9_tpch.sql,2.117623996
tpc_scale_0_8,9_tpch.sql,2.211918128
tpc_scale_0_9,9_tpch.sql,2.199135038
tpc_scale_1_0,9_tpch.sql,2.138075249
tpc_scale_0_1,10_tpch.sql,.225440360
tpc_scale_0_2,10_tpch.sql,.269807260
tpc_scale_0_3,10_tpch.sql,.223914110
tpc_scale_0_4,10_tpch.sql,.225129758
tpc_scale_0_5,10_tpch.sql,.272237329
tpc_scale_0_6,10_tpch.sql,.222583292
tpc_scale_0_7,10_tpch.sql,.274256424
tpc_scale_0_8,10_tpch.sql,.221985795
tpc_scale_0_9,10_tpch.sql,.277084716
tpc_scale_1_0,10_tpch.sql,.226265332
tpc_scale_0_1,14_tpch.sql,.086201592
tpc_scale_0_2,14_tpch.sql,.037054099
tpc_scale_0_3,14_tpch.sql,.036635220
tpc_scale_0_4,14_tpch.sql,.036452985
tpc_scale_0_5,14_tpch.sql,.036737088
tpc_scale_0_6,14_tpch.sql,.038197097
tpc_scale_0_7,14_tpch.sql,.036825840
tpc_scale_0_8,14_tpch.sql,.036048703
tpc_scale_0_9,14_tpch.sql,.034510095
tpc_scale_1_0,14_tpch.sql,.034549525
tpc_scale_0_1,19_tpch.sql,.453960035
tpc_scale_0_2,19_tpch.sql,.467703589
tpc_scale_0_3,19_tpch.sql,.465282729
