scale_factor,query,prob_eval(s)
1,query10_cm.sql,.037495214
1,query13_cm.sql,1.978713937
1,query14_cm.sql,15.230361618
1,query16_cm.sql,14.883799584
2,query10_cm.sql,.053650127
2,query13_cm.sql,4.326584828
2,query14_cm.sql,31.126175459
2,query16_cm.sql,33.097855459
3,query10_cm.sql,.068171435
3,query13_cm.sql,6.727264765
3,query14_cm.sql,47.622963567
3,query16_cm.sql,51.011353229
4,query10_cm.sql,.083567575
4,query13_cm.sql,9.160348109
4,query14_cm.sql,63.053098365
4,query16_cm.sql,69.665837685
5,query10_cm.sql,.225838669
5,query13_cm.sql,11.743207656
5,query14_cm.sql,79.038648411
5,query16_cm.sql,90.374879353
6,query10_cm.sql,.115933641
6,query13_cm.sql,14.271668241
6,query14_cm.sql,95.371807643
6,query16_cm.sql,110.212336296
7,query10_cm.sql,.133459432
7,query13_cm.sql,16.844454882
7,query14_cm.sql,112.818802400
7,query16_cm.sql,128.405087834
8,query10_cm.sql,.147290284
8,query13_cm.sql,20.001697206
8,query14_cm.sql,129.819072565
8,query16_cm.sql,148.978988921
9,query10_cm.sql,.243687981
9,query13_cm.sql,22.130904325
9,query14_cm.sql,147.103390988
9,query16_cm.sql,170.693479960
10,query10_cm.sql,.269921197
10,query13_cm.sql,24.740069164
10,query14_cm.sql,162.257670089
10,query16_cm.sql,187.994426718
