scale_factor,query,prob_eval(s)
1,tpch_1_m.sql,26.8206049032
1,tpch_4_m.sql,3.9985466958
1,tpch_12_m.sql,2.8348856208
1,tpch_15_m.sql,54.0718622816
2,tpch_1_m.sql,55.7164428494
2,tpch_4_m.sql,7.9231724737
2,tpch_12_m.sql,5.6851208591
2,tpch_15_m.sql,107.6207076715
3,tpch_1_m.sql,87.1705816033
3,tpch_4_m.sql,12.382987575
3,tpch_12_m.sql,8.5010555763
3,tpch_15_m.sql,165.442013349
4,tpch_1_m.sql,117.1635094284
4,tpch_4_m.sql,15.3201045758
4,tpch_12_m.sql,10.8880637384
4,tpch_15_m.sql,223.6358690196
5,tpch_1_m.sql,146.6917106053
5,tpch_4_m.sql,19.2951687575
5,tpch_12_m.sql,13.3887190379
5,tpch_15_m.sql,282.5594629577
6,tpch_1_m.sql,178.2434920029
6,tpch_4_m.sql,23.2570440492
6,tpch_12_m.sql,16.4760465926
6,tpch_15_m.sql,338.1099147974
7,tpch_1_m.sql,210.3414384277
7,tpch_4_m.sql,26.809536473
7,tpch_12_m.sql,19.5554278741
7,tpch_15_m.sql,396.0966655867
8,tpch_1_m.sql,241.3584328437
8,tpch_4_m.sql,31.2291735488
8,tpch_12_m.sql,22.9621769337
8,tpch_15_m.sql,453.1597903329
9,tpch_1_m.sql,275.6881145334
9,tpch_4_m.sql,35.2899971951
9,tpch_12_m.sql,25.8095404415
9,tpch_15_m.sql,506.3110460226
10,tpch_1_m.sql,309.0728731841
10,tpch_4_m.sql,39.4209953832
10,tpch_12_m.sql,28.0526703878
10,tpch_15_m.sql,564.654894111
