scale_factor,query,prob_eval(s)
1,tpch_1_m.sql,26.8206049032
1,tpch_4_m.sql,3.9985466958
1,tpch_12_m.sql,2.8348856208
1,tpch_15_m.sql,54.0718622816
2,tpch_1_m.sql,55.7164428494
2,tpch_4_m.sql,7.9231724737
2,tpch_12_m.sql,5.6851208591
2,tpch_15_m.sql,107.6207076715
3,tpch_1_m.sql,87.1705816033
3,tpch_4_m.sql,12.382987575
3,tpch_12_m.sql,8.5010555763
3,tpch_15_m.sql,165.442013349
4,tpch_1_m.sql,116.1060854085
4,tpch_4_m.sql,15.628633557
4,tpch_12_m.sql,11.1638874514
4,tpch_15_m.sql,223.5275958262
