scale_factor,query,prob_eval(s)
6,tpch_4_p.sql,64.92002439370000000000
6,tpch_12_p.sql,171.93911958000000000000
6,tpch_15_p.sql,5.97153602410000000000
7,tpch_4_p.sql,76.90090764730000000000
7,tpch_12_p.sql,217.03430393540000000000
7,tpch_15_p.sql,6.93134135380000000000
8,tpch_4_p.sql,86.31681553190000000000
8,tpch_12_p.sql,255.13937166840000000000
8,tpch_15_p.sql,4.26889821340000000000
9,tpch_4_p.sql,100.44155083180000000000
9,tpch_12_p.sql,309.86342112040000000000
9,tpch_15_p.sql,4.81845673840000000000
10,tpch_4_p.sql,113.64757796910000000000
10,tpch_12_p.sql,364.19631359960000000000
10,tpch_15_p.sql,5.30795974710000000000
