scale_factor,query,prob_eval(s)
1,3_probab.sql,.052424871
1,6_probab.sql,.076574152
1,9_probab.sql,5.202109985
1,10_probab.sql,.382779595
1,12_probab.sql,2.411466779
1,14_probab.sql,.063763756
1,19_probab.sql,.092820711
2,3_probab.sql,.059556222
2,6_probab.sql,.074510991
2,9_probab.sql,11.436833241
2,10_probab.sql,1.374049089
2,12_probab.sql,4.858195857
2,14_probab.sql,.062706110
2,19_probab.sql,.148358131
3,3_probab.sql,.054919649
3,6_probab.sql,.073874244
3,9_probab.sql,16.752598936
3,10_probab.sql,2.167791349
3,12_probab.sql,7.421970097
3,14_probab.sql,.206680581
3,19_probab.sql,.212930925
4,3_probab.sql,.049781241
4,6_probab.sql,.063937112
4,9_probab.sql,22.227410233
4,10_probab.sql,2.637787712
4,12_probab.sql,10.590549163
4,14_probab.sql,.168356445
4,19_probab.sql,.265676559
5,3_probab.sql,.066306506
5,6_probab.sql,.082757304
5,9_probab.sql,28.087420110
5,10_probab.sql,3.606881885
5,12_probab.sql,13.085690667
5,14_probab.sql,.069021767
5,19_probab.sql,.183916302
6,3_probab.sql,.067408712
6,6_probab.sql,.072859676
6,9_probab.sql,35.316826968
6,10_probab.sql,4.068270577
6,12_probab.sql,14.411574226
6,14_probab.sql,.386468400
6,19_probab.sql,.225025955
7,3_probab.sql,.062576418
7,6_probab.sql,.081831432
7,9_probab.sql,40.879725435
7,10_probab.sql,5.129151676
7,12_probab.sql,18.646675264
7,14_probab.sql,.475598462
7,19_probab.sql,.057551887
8,3_probab.sql,.058420039
8,6_probab.sql,.087575188
8,9_probab.sql,47.958833766
8,10_probab.sql,5.610866105
8,12_probab.sql,20.041104868
8,14_probab.sql,.522939214
8,19_probab.sql,.060786039
9,3_probab.sql,.077832643
9,6_probab.sql,.095821024
9,9_probab.sql,56.480936350
9,10_probab.sql,6.528368678
9,12_probab.sql,23.597271281
9,14_probab.sql,.393375133
9,19_probab.sql,.213512641
10,3_probab.sql,.089620753
10,6_probab.sql,.120348989
10,9_probab.sql,65.753656397
10,10_probab.sql,7.231835612
10,12_probab.sql,33.021718600
10,14_probab.sql,.660931433
10,19_probab.sql,.036856785
