scale_factor, formula(s), counting(s), why(s), gprom_prov(s)
0.1,27.840991933,25.558729433,43.072332511,10.957136723
0.2,47.129766835,42.82932541,70.413274905,22.480844731
0.3,69.56212483,63.428191228,102.412608151,31.802247194
0.4,91.782466524,83.084157136,135.63597824,40.826828503
0.5,114.237348843,104.097442656,169.139520888,50.986210918
0.6,135.454162007,123.297716517,200.889572939,61.401338906
0.7,160.488854549,143.110895496,233.975283087,70.536538039
0.8,180.571803066,163.250647687,266.642807105,78.812492822
0.9,202.00724222,183.650074154,298.840982476,88.57781914
1,224.825397819,203.13260574,330.89321913,98.26160183
1.1,224.062604396,202.267487016,330.355300933,99.077868065
1.2,223.841730795,202.590870364,329.97105432,97.237122284
1.3,224.545300394,202.609306888,331.377415299,97.58017887
1.4,224.707959953,203.35043208,332.448995912,97.862251295
1.5,224.582645216,202.227147329,329.790929082,98.766968987
1.6,236.277313716,203.1086504,330.274783624,97.790133837
1.7,224.281452488,202.993686678,330.065289788,99.710202427
1.8,224.249872091,202.698375189,330.485611593,97.624715639
1.9,225.084104489,202.731718493,331.571087131,98.028006554
2,450.28623839,407.03949401,662.207090312,199.024671645
2.1,449.949633746,406.509463975,662.840846272,195.876482178
2.2,451.18016906,407.413783426,663.616045293,198.409470523
