scale_factor,10_wo,12_wo,14_wo,19_wo,3_wo,6_wo,7_wo,9_wo
1,0.1518331917,0.3759741388,0.0280060699,0.374518097,0.0496108689,0.2625655447,0.438305016,0.5540010818
2,0.2467013353,0.6629005843,0.0282574886,0.6442471563,0.0502756831,0.4438897732,0.7419672672,1.3976722135
3,0.3416343338,0.9612486864,0.0282510602,1.0731613685,0.0461295217,0.6489480249,1.093548039,2.4096872735
4,0.4311449589,1.2033396085,0.026872741,1.2704351194,0.0490757546,0.7883750606,1.6813305707,3.1252388996
5,0.5146644294,1.3883879354,0.0281525945,1.4691727804,0.0514180671,0.9283354345,1.9902050677,154.6689694655
6,0.615054283,1.6103151871,0.0286485965,1.6810519672,0.0526868678,1.076059041,2.2759583892,226.2458389733
7,0.7277065445,1.8857612713,0.0329498207,1.9124941064,0.0595974871,1.2489822553,2.696547152,302.8526588302
8,1.4687557446,2.0832150969,0.0263203038,2.0964439078,0.052500357,1.3656271186,3.0683208231,392.8631115988
9,1.7059614299,2.4546014683,0.0343452892,2.3836669271,0.0599603102,1.5740180581,3.4255118574,495.2161512353
10,1.8746800244,2.6780188963,0.028965126,2.636118819,0.0648889941,1.7602822949,3.7915605497,613.2355726357
